Year  Mo   SST    Wind 
1970   5   3.58   3.71
1970   6   2.48  -2.09
1970   7   1.20   3.00
1970   8   0.86   1.86
1970   9  -0.02  -0.56
1970  10   0.31   3.07
1970  11   0.51   1.49
1970  12   0.97   1.70
1971   1   0.73   2.90
1971   2  -0.17  -0.45
1971   3  -1.00  -6.22
1971   4  -2.61  -2.86
1971   5  -3.56  -4.47
1971   6  -3.80  -3.88
1971   7  -1.96  -1.66
1971   8  -2.47  -2.93
1971   9  -1.56   4.75
1971  10  -0.26   3.73
1971  11   0.73   5.85
1971  12  -0.44   6.76
1972   1  -1.63  -6.48
1972   2  -2.15  -6.29
1972   3  -3.12   1.97
1972   4  -3.04  -4.32
1972   5  -3.32  -6.16
1972   6  -4.31  -4.06
1972   7  -4.77  -3.87
1972   8  -4.91  -7.88
1972   9  -4.75   0.43
1972  10  -4.50  -0.33
1972  11  -4.93  -6.76
1972  12  -6.82  -15.13
1973   1  -6.53  -4.60
1973   2  -5.69  -9.91
1973   3  -4.97  -2.58
1973   4  -3.62   6.06
1973   5  -2.54  -3.72
1973   6  -2.47  -3.93
1973   7  -2.15  -5.72
1973   8  -2.06  -5.67
1973   9  -2.02  -3.70
1973  10  -2.40  -4.51
1973  11  -1.91   4.48
1973  12  -1.17   5.58
1974   1  -1.49  -9.61
1974   2  -2.91  -7.57
1974   3  -4.81  -11.91
1974   4  -6.31  -10.17
1974   5  -6.22  -0.68
1974   6  -4.90  -2.37
1974   7  -3.89  -1.80
1974   8  -3.66  -3.64
1974   9  -3.90  -3.83
1974  10  -3.46  -4.35
1974  11  -4.12  -2.78
1974  12  -3.91  -1.60
1975   1  -2.14   0.06
1975   2  -2.40  -4.25
1975   3  -3.01  -2.28
1975   4  -2.42  -2.86
1975   5  -3.16  -4.37
1975   6  -2.90   0.34
1975   7  -1.17   0.27
1975   8  -0.55   1.56
1975   9  -1.13  -1.10
1975  10  -1.35  -3.65
1975  11  -1.67  -0.15
1975  12  -0.62  17.07
1976   1  -0.02   0.67
1976   2  -1.10  -8.00
1976   3  -2.74  -9.42
1976   4  -2.43   1.60
1976   5  -2.81  -4.71
1976   6  -2.12  -1.93
1976   7   0.02   3.02
1976   8   1.56   1.84
1976   9   1.40  -1.57
1976  10   0.82  -5.27
1976  11  -0.66  -6.99
1976  12  -2.15  -6.58
1977   1  -1.98   0.84
1977   2  -1.57  -3.53
1977   3  -0.83  -3.18
1977   4  -0.31   1.05
1977   5  -0.08  -1.49
1977   6   0.03  -0.79
1977   7  -0.85  -2.67
1977   8  -1.73  -7.36
1977   9  -2.02  -2.65
1977  10  -2.41  -5.49
1977  11  -2.40  -0.75
1977  12  -1.95  -0.58
1978   1   0.23  -3.94
1978   2   2.00  14.82
1978   3   3.20  -5.83
1978   4   3.80   3.40
1978   5   2.05  -5.03
1978   6  -0.39  -3.72
1978   7  -1.32  -2.92
1978   8  -0.54  -2.14
1978   9   0.17   0.54
1978  10   0.51   3.37
1978  11   0.05  -3.22
1978  12  -1.09   0.71
1979   1   1.15  11.18
1979   2   2.50  10.58
1979   3   2.37   2.00
1979   4   2.16   6.93
1979   5   2.42   1.57
1979   6   1.96   5.28
1979   7   1.16  -0.99
1979   8  -0.42  -3.77
1979   9  -0.89  -1.97
1979  10  -0.26  -3.62
1979  11   0.08  -2.49
1979  12   0.89  -2.67
1980   1   2.99   9.43
1980   2   3.35  -1.77
1980   3   3.01   2.09
1980   4   4.19   7.36
1980   5   5.10   3.45
1980   6   3.64  -4.90
1980   7   1.53  -2.59
1980   8   1.73   0.54
1980   9   0.89  -6.92
1980  10   0.22  -1.19
1980  11   0.68   1.72
1980  12   0.75  -4.20
1981   1   1.72   1.03
1981   2   2.78   2.80
1981   3   5.09  12.44
1981   4   4.03   2.02
1981   5   3.68  -0.99
1981   6   2.19   6.18
1981   7   1.41   1.09
1981   8   0.32  -0.62
1981   9   0.02  -0.54
1981  10  -0.90  -6.42
1981  11  -0.17   2.52
1981  12   1.91   0.86
1982   1   0.37   5.42
1982   2  -0.22  -7.20
1982   3  -0.45  -6.06
1982   4  -0.68   4.08
1982   5   0.31   0.79
1982   6  -0.30   2.64
1982   7  -0.92  -1.01
1982   8  -0.75  -2.10
1982   9  -2.21  -6.65
1982  10  -3.12  -4.38
1982  11  -4.18  -8.68
1982  12  -5.89  -8.32
1983   1  -5.87  -7.05
1983   2  -3.18   9.92
1983   3   1.56   3.03
1983   4   2.41   3.60
1983   5   1.11  -2.53
1983   6   1.25   1.71
1983   7   0.67  -4.08
1983   8  -0.98  -7.17
1983   9  -1.12  -3.31
1983  10  -0.40  -1.88
1983  11   0.42   9.66
1983  12   0.52  -2.38
1984   1  -1.62  -16.78
1984   2  -2.97  -6.14
1984   3  -3.43  -4.40
1984   4  -2.76   0.72
1984   5  -1.77  -3.95
1984   6  -2.65  -4.69
1984   7  -3.17  -2.16
1984   8  -3.57  -5.86
1984   9  -3.43  -3.85
1984  10  -3.14  -4.33
1984  11  -3.12  -3.44
1984  12  -2.68  -5.43
1985   1  -3.04   0.55
1985   2  -2.71  -5.41
1985   3  -3.92  -6.83
1985   4  -3.90  -9.44
1985   5  -4.94  -3.24
1985   6  -0.62   2.75
1985   7   0.12  -1.06
1985   8  -0.26  -1.38
1985   9  -0.39   1.69
1985  10  -1.10  -1.22
1985  11  -0.23   5.03
1985  12  -1.88  -7.41
1986   1  -3.85  -14.92
1986   2  -4.40   0.63
1986   3  -4.39  -15.95
1986   4  -5.20  -4.87
1986   5  -4.42  -0.85
1986   6  -4.37  -3.95
1986   7  -3.02  -2.15
1986   8  -2.75  -1.89
1986   9  -1.68   1.77
1986  10  -2.34  -4.15
1986  11  -3.41  -10.96
1986  12  -5.95  -7.76
1987   1  -3.66   6.98
1987   2  -2.74   2.14
1987   3   0.18   4.04
1987   4   0.93   2.34
1987   5   0.57   2.83
1987   6   2.34  -2.05
1987   7   0.22  -4.46
1987   8   0.78  -3.06
1987   9   0.38  -0.72
1987  10   0.58  -9.70
1987  11  -0.68   1.26
1987  12   1.10   0.45
1988   1  -1.36  -12.84
1988   2  -2.51  -3.73
1988   3  -0.66  -3.64
1988   4   1.39   2.40
1988   5   0.48  -2.37
1988   6   1.71  -2.32
1988   7   1.74   1.16
1988   8   0.47   0.99
1988   9   0.20   0.86
1988  10  -0.28  -2.53
1988  11   0.08   1.42
1988  12  -0.21  -0.42
1989   1  -2.60  -9.14
1989   2  -2.84  -11.64
1989   3  -4.84  -10.85
1989   4  -5.79  -12.65
1989   5  -4.45   1.58
1989   6   0.35   4.58
1989   7   2.14  -3.01
1989   8   2.68   1.54
1989   9   0.52  -3.75
1989  10   0.54   1.20
1989  11  -0.24  -1.68
1989  12   1.63   1.92
1990   1  -0.18  -9.76
1990   2  -1.27  -2.03
1990   3  -1.60   0.93
1990   4  -0.80  -1.33
1990   5   0.61   2.56
1990   6  -0.30  -3.35
1990   7   0.91  -0.93
1990   8   2.10  -0.20
1990   9   2.08   0.80
1990  10   1.35   2.00
1990  11   0.83  -2.03
1990  12  -0.54  -0.28
1991   1  -1.29  -6.10
1991   2  -1.19  -7.16
1991   3  -2.06  -5.17
1991   4  -3.57  -0.37
1991   5  -4.43  -2.26
1991   6  -5.03  -4.25
1991   7  -4.12  -1.07
1991   8  -2.15   1.70
1991   9   0.38  -4.15
1991  10  -1.31   6.12
1991  11  -1.22  -4.69
1991  12  -2.19   3.04
1992   1  -1.47   3.35
1992   2  -0.98  -7.43
1992   3  -0.75  -4.70
1992   4  -1.21  -1.40
1992   5  -0.34   1.73
1992   6   0.02   1.23
1992   7   0.68   2.31
1992   8   0.08  -3.25
1992   9  -0.02  -1.81
1992  10   0.06   5.11
1992  11  -0.71  -1.70
1992  12  -1.34  -2.79
1993   1  -2.26  -5.60
1993   2  -2.51  -0.56
1993   3  -3.14  -3.11
1993   4  -3.26  -1.77
1993   5  -2.30   3.58
1993   6  -0.88  -1.00
1993   7  -2.55  -1.00
1993   8  -2.52  -4.53
1993   9  -2.64  -9.04
1993  10  -3.22  -1.19
1993  11  -5.27  -11.64
1993  12  -5.93  -9.64
1994   1  -6.23  -13.27
1994   2  -5.47  -6.82
1994   3  -5.56  -9.90
1994   4  -4.92  -1.91
1994   5  -4.82  -5.68
1994   6  -3.49  -2.76
1994   7  -2.31  -2.66
1994   8  -2.24  -5.58
1994   9  -1.71  -0.90
1994  10  -1.42   1.96
1994  11  -1.70  -3.21
1994  12  -2.24  -3.76
1995   1  -1.37  -5.61
1995   2  -1.66  -10.11
1995   3  -3.49  -1.61
1995   4  -1.58  -0.39
1995   5   0.76   2.08
1995   6   1.33   4.32
1995   7   2.48   4.91
1995   8   2.99   7.22
1995   9   2.91   4.81
1995  10   3.46   5.55
1995  11   4.66   4.07
1995  12   4.35   9.56
1996   1   5.71   3.53
1996   2   2.64  -3.45
1996   3   0.09  -1.31
1996   4   0.02   1.66
1996   5  -0.15  -0.57
1996   6  -1.58  -3.21
1996   7  -1.27  -3.49
1996   8  -0.58  -4.17
1996   9   0.53   0.03
1996  10   1.17  -1.29
1996  11   1.42  -7.70
1996  12   2.32   3.84
1997   1   4.26   8.61
1997   2   3.32  -6.61
1997   3   2.70  -0.94
1997   4   2.11  10.00
1997   5   2.52  -0.36
1997   6   2.32   1.30
1997   7   0.23  -3.91
1997   8  -1.40  -3.52
1997   9  -1.16  -3.56
1997  10  -0.15   4.00
1997  11  -0.35  -5.75
1997  12  -1.44  -7.60
1998   1  -1.55  -3.65
1998   2   1.52  11.78
1998   3   2.17  -1.75
1998   4   0.74  -5.33
1998   5   1.20   2.16
1998   6   1.42  -0.77
1998   7   0.85   0.53
1998   8   1.89   0.06
1998   9   1.35   3.06
1998  10   4.11   1.25
1998  11   4.39   0.08
1998  12   3.97  -5.71
1999   1   1.36  -6.70
1999   2  -0.30   0.61
1999   3  -2.06  -2.10
1999   4  -2.80   0.71
1999   5  -1.87   2.55
1999   6  -0.83  -2.01
1999   7  -1.10   5.45
1999   8   0.94   5.94
1999   9   2.35   3.29
1999  10   2.20  -1.58
1999  11   2.29   5.62
1999  12   3.66   1.62
2000   1   1.19  -0.92
2000   2  -0.38  -8.21
2000   3   0.31   7.18
2000   4  -1.41  -3.55
2000   5  -1.99  -1.53
2000   6  -2.30  -2.52
2000   7  -1.05  -0.77
2000   8  -0.38  -1.57
2000   9  -0.12  -2.02
2000  10   0.15  -5.16
2000  11   0.39  -2.64
2000  12   0.24  -4.76
2001   1   0.40  -3.20
2001   2  -0.06   2.59
2001   3   0.15   2.93
2001   4  -1.45  -1.84
2001   5  -2.08   2.07
2001   6  -0.64   2.88
2001   7   0.41   1.55
2001   8   0.41   5.45
2001   9   2.93   9.10
2001  10   3.31  -2.14
2001  11   5.03   8.15
2001  12   5.54  13.86
2002   1   6.05  -1.82
2002   2   4.30   1.39
2002   3   2.14  -3.61
2002   4  -2.38  -7.46
2002   5  -4.39  -4.51
2002   6  -4.43  -0.60
2002   7  -3.56  -3.36
2002   8  -1.99  -0.29
2002   9  -0.73   4.18
2002  10   1.14   3.81
2002  11   0.91  -8.82
2002  12  -0.45   1.18
2003   1   0.13  -10.99
2003   2  -1.60  -11.92
2003   3  -3.10   0.33
2003   4  -1.79  -0.57
2003   5  -1.51  -1.26
2003   6  -0.11   0.64
2003   7  -0.16   1.82
2003   8   1.37   5.60
2003   9   2.67   7.44
2003  10   3.82   4.53
2003  11   2.17  -3.51
2003  12   1.98   5.43
2004   1   2.87   0.82
2004   2   3.07   2.09
2004   3   2.17  -3.93
2004   4   2.72   0.81
2004   5   0.90   1.04
2004   6   1.22   5.37
2004   7   1.82   0.44
2004   8   3.70   1.95
2004   9   2.96   2.69
2004  10   4.10   7.08
2004  11   4.88   9.09
2004  12   3.78  -3.21
2005   1   2.39   1.02
2005   2   1.43   4.22
2005   3   2.27  12.95
2005   4   3.82   4.94
2005   5   4.58   9.28
2005   6   5.55   6.98
2005   7   4.03   3.72
2005   8   3.31   4.19
2005   9   4.08   0.37
2005  10   3.63   2.35
2005  11   3.69   4.35
2005  12   5.29   6.30
2006   1   4.17  -2.95
2006   2   1.20  -2.91
2006   3  -0.26   4.48
2006   4   1.30   2.26
2006   5   0.83   1.30
2006   6   0.07   0.50
2006   7  -0.51  -1.38
2006   8   1.27   5.60
2006   9   1.99   3.91
2006  10   3.69   3.57
2006  11   4.49   1.60
2006  12   2.47  -6.76
2007   1   2.24  -0.97
2007   2   2.96  -3.45
2007   3   1.98  -8.48
2007   4   0.99   3.71
2007   5  -0.20  -3.64
2007   6  -0.48   2.33
2007   7  -0.99   1.46
2007   8  -0.24   4.05
2007   9   0.20   6.30
2007  10   2.42   4.70
2007  11   3.50   4.78
2007  12   2.58  -1.19
2008   1   2.15  -1.95
2008   2   0.98  -1.84
2008   3   0.12  -2.16
2008   4  -1.87   1.53
2008   5  -0.64   0.88
2008   6  -0.59   2.32
2008   7  -0.41   4.41
2008   8   0.08   4.15
2008   9   2.09   4.74
2008  10   2.81   0.31
2008  11   1.84   7.24
2008  12   1.89   2.22
2009   1   0.67  -10.51
2009   2  -2.79  -7.25
2009   3  -3.72   1.50
2009   4  -4.03  -10.03
2009   5  -5.29  -6.22
2009   6  -3.60  -0.09
2009   7   0.11   1.46
2009   8   0.33  -0.75
2009   9   0.45   2.68
2009  10   2.56   7.48
2009  11   2.53  -5.72
2009  12   1.01   8.83
2010   1   1.98   5.81
2010   2   3.96  16.29
2010   3   5.01   4.49
2010   4   5.30  12.34
2010   5   6.11   0.15
2010   6   4.17   0.34
2010   7   3.84   3.76
2010   8   4.19  10.17
2010   9   4.92  12.67
2010  10   6.11   4.19
2010  11   6.32  12.50
2010  12   7.80  15.73
2011   1   7.01  -1.06
2011   2   3.30  -5.26
2011   3   1.37  -1.79
2011   4   0.16  -0.77
2011   5   0.96   4.05
2011   6   1.87   1.28
2011   7   0.97  -3.14
2011   8   0.78   3.43
2011   9   2.24   5.36
2011  10   3.32   2.82
2011  11   3.36  -0.30
2011  12   4.47  -1.73
2012   1   3.13   1.08
2012   2   1.33  -6.71
2012   3  -2.18   1.74
2012   4  -1.23  -0.77
2012   5  -0.85   6.54
2012   6   0.48   3.98
2012   7   0.74   3.58
2012   8   2.05   7.51
2012   9   3.49  12.81
2012  10   4.97  14.31
2012  11   5.35   0.95
2012  12   3.92   3.17
2013   1   2.86   2.99
2013   2   1.63   3.66
2013   3   3.72  14.96
2013   4   2.22   1.00
2013   5   3.12   1.39
2013   6   0.86  -2.79
2013   7   0.75   3.61
2013   8   1.63   2.13
2013   9   2.90   5.20
2013  10   4.48  -0.15
2013  11   3.06   1.42
2013  12   2.85  -4.11
2014   1   0.77  -9.80
2014   2  -1.92  -13.08
2014   3  -4.40  -7.20
2014   4  -3.68   0.55
2014   5  -3.80  -6.10
2014   6  -4.29  -2.43
2014   7  -2.13   1.91
2014   8  -0.34   0.63
2014   9   1.80   5.42
2014  10   3.18   6.17
2014  11   3.10  -7.01
2014  12   1.35   2.08
2015   1  -0.80  -11.40
2015   2  -1.78  -6.57
2015   3  -4.23  -9.15
2015   4  -5.65  -5.55
2015   5  -4.08  -2.25
2015   6  -4.13  -0.54
2015   7  -1.60   0.39
2015   8   1.10   3.18
2015   9   2.44   4.85
2015  10   3.95   1.67
2015  11   1.08  -8.64
2015  12  -0.58  -8.24
2016   1  -0.56  -2.91
2016   2  -0.66  -15.37
2016   3  -1.40  -2.64
2016   4  -1.58   4.88
2016   5   0.09  -2.16
2016   6  -0.10  -0.16
2016   7  -0.14   1.71
2016   8   1.09   3.47
2016   9   2.11   0.80
2016  10   2.65   4.33
2016  11   3.57   3.61
2016  12   2.87  -1.97
2017   1   1.69   6.73
2017   2   0.82  -5.01
2017   3  -1.07  -7.11
2017   4   0.13   9.03
2017   5   2.16   1.67
2017   6   1.16  -0.58
2017   7   2.10   1.15
2017   8   1.93   2.10
2017   9   3.10   3.74
2017  10   2.94   0.62
2017  11   4.48   3.59
2017  12   6.14  -2.39
2018   1   2.12  -9.52
2018   2  -0.22  -2.45
2018   3   0.56   2.40
2018   4  -2.90  -7.51
2018   5  -4.72  -4.84
2018   6  -6.48   4.39
2018   7  -4.72  -0.67
2018   8  -1.36   1.19
2018   9  -0.78   4.51
2018  10   0.99   1.19
2018  11  -0.68  -8.00
2018  12  -1.83  -3.66
2019   1  -0.70   2.32
2019   2  -0.03  -4.95
2019   3  -3.01  -10.76
2019   4  -3.54  -3.89
2019   5  -2.08   3.11
2019   6  -1.35   3.43
2019   7  -0.14   2.42
2019   8   0.33   6.16
2019   9   2.33   6.06
2019  10   2.25   4.99
2019  11  -0.02  -9.08
2019  12  -1.19  -4.25
2020   1  -1.87  -0.05
2020   2  -1.51  -4.86
2020   3  -0.49  -2.50
2020   4   0.19   3.77
2020   5  -1.04   2.79
2020   6   0.52   6.07
2020   7  -0.59   5.44
2020   8   0.29   8.66
2020   9   1.90  10.54
2020  10   3.77  -1.15
2020  11   2.92  -1.85
2020  12   3.60   1.91
2021   1   3.39   7.18
2021   2   1.97  -3.96
2021   3   0.16  -5.01
2021   4  -0.97   7.33
2021   5  -2.29  -1.35
2021   6  -4.13  -0.92
2021   7  -4.12   1.95
2021   8  -2.29   4.60
2021   9   1.31   2.07
2021  10   1.83   0.22
2021  11   3.18   3.55
2021  12   2.69  -1.20
2022   1   2.97   2.91
2022   2   2.10  -5.46
2022   3  -1.27  -10.26
2022   4  -2.44   4.43
2022   5  -0.24   4.95
2022   6  -0.60  -3.00
2022   7  -1.57   0.57
2022   8  -0.21   4.78
2022   9   2.20   3.92
2022  10   2.80   0.95
2022  11   2.20  -4.95
2022  12   1.61   6.90
2023   1   1.29  -2.19
2023   2   0.11  -0.18
2023   3   1.02   8.31
2023   4   1.12   4.16
2023   5   2.28   0.23
2023   6   3.74  13.10
2023   7   3.18   2.98
2023   8   2.95   5.36
2023   9   5.72   7.35
2023  10   5.51   5.72
2023  11   4.00  -2.99
2023  12   2.58   0.39
2024   1   3.96   1.23
2024   2   4.02  -1.16
2024   3   3.14  -7.51
2024   4   1.55   0.45
2024   5   3.30   6.31
2024   6   3.22   2.87
2024   7   0.90   6.94
2024   8   2.75   4.35
2024   9   4.40   9.66
2024  10   4.39   4.31
2024  11   4.91   4.99
